Type,Category,Romanized,Variants,Cantonese,Mandarin,English,Source
phrase,"Building, construction and property",caap zam lau,,插針樓,,Literally means Needle insertion building (Toothpick building); Pencil tower,wikipedia:Hong_Kong_slanguage
phrase,"Building, construction and property",ngaa cim lau,,牙籤樓,,Literally means Needle insertion building (Toothpick building); Pencil tower,wikipedia:Hong_Kong_slanguage
phrase,"Building, construction and property",coeng ming kai,,長命契,,Literally means deed of longevity; Joint Tenancy,wikipedia:Hong_Kong_slanguage
phrase,"Building, construction and property",daai zam baan,,大砧板,,Literally means big cutting board; Transfer plate,wikipedia:Hong_Kong_slanguage
phrase,"Building, construction and property",deng kai,,釘契,,Literally means nailing the title or deed; Encumbrance,wikipedia:Hong_Kong_slanguage
phrase,"Building, construction and property",gaau gat,,交吉,,The property is sold with vacant possession (NOT subject to a tenancy),wikipedia:Hong_Kong_slanguage
phrase,"Building, construction and property",hak ci,,黑廁,,Literally means Black toilet; Bathroom without Window,wikipedia:Hong_Kong_slanguage
phrase,"Building, construction and property",laan mei lau,,爛尾樓,,Literally means Tail-rotten building; Unfinished building,wikipedia:Hong_Kong_slanguage
phrase,"Building, construction and property",lau faa,,樓花,,Literally means Apartment-flowers; Off-plan property,wikipedia:Hong_Kong_slanguage
phrase,"Building, construction and property",nai tau ce,,泥頭車,,Literally means Clay-head-cars; Dump truck,wikipedia:Hong_Kong_slanguage
phrase,"Building, construction and property",naap mai lau,,納米樓,,Literally means Nanometre Houses; Nano Flats (apartments which Saleable area are measuring less than 215 sq. ft.),wikipedia:Hong_Kong_slanguage
phrase,"Building, construction and property",ngan zyu pun,,銀主盤,,"Foreclosure, mainly in Real Estate, like apartments and houses",wikipedia:Hong_Kong_slanguage
phrase,"Building, construction and property",sek si,,石屎,,Literally means Stone-Feces; Concrete,wikipedia:Hong_Kong_slanguage
phrase,"Building, construction and property",si bo ling,,士波令,,"Sound like English word, ""spalling""; Spalling",wikipedia:Hong_Kong_slanguage
phrase,"Building, construction and property",tek goek baan,,踢腳板,,"Literally means Kick-Feet-Board; 1.) - Toe board, 2.) Baseboard",wikipedia:Hong_Kong_slanguage
phrase,"Building, construction and property",tin lo ce,,田螺車,,Literally means River snail-cars; Concrete mixer truck,wikipedia:Hong_Kong_slanguage
phrase,"Building, construction and property",tong fong,,劏房,,Literally means Butchered rooms; Subdivided flats,wikipedia:Hong_Kong_slanguage
phrase,"Building, construction and property",waat nai ce,,挖泥車,,"Literally means Excavate-mud-vehicle. (Alternatively, Caan2 nai4 ce1 (剷泥車) - Literally means Shovel-mud-vehicle, or Gai1 tau4 (雞頭) - Literally means Chicken head); Excavator",wikipedia:Hong_Kong_slanguage
phrase,"Building, construction and property",zyu lik coeng,,主力牆,,Literally means Main-force-wall; Load-bearing wall,wikipedia:Hong_Kong_slanguage
phrase,Electricity,lou syu mei,,老鼠尾,,Literally means Mouse/Rat tail; RCBO,wikipedia:Hong_Kong_slanguage
phrase,Electricity,seoi sin,,水線,,Literally means Water-wire; Earth Wire,wikipedia:Hong_Kong_slanguage
phrase,Electricity,seoi zung,,水總,,RCCB,wikipedia:Hong_Kong_slanguage
phrase,Electricity,tar biu,,tar表,,Multimeter,wikipedia:Hong_Kong_slanguage
phrase,Electricity,tiu zai,,跳掣,,Literally to jump the switch; To trip circuit breaker,wikipedia:Hong_Kong_slanguage
phrase,Medical,baau gong,,爆江,,Literally to rupture a river / crock; Bleeding,wikipedia:Hong_Kong_slanguage
phrase,Medical,daap kiu,,搭橋,,Literally to build a bridge; Coronary Artery Bypass Grafting (CABG),wikipedia:Hong_Kong_slanguage
phrase,Medical,hei gai pei,,起雞皮,,Literally to raise chicken skin; To get Goose bumps,wikipedia:Hong_Kong_slanguage
phrase,Medical,siu ji fo,,小兒科,,Literally means Pediatric; 1). - Pediatric. 2.) - Child's Play or Insignificant things,wikipedia:Hong_Kong_slanguage
